rel_path,source_type,scanner,dpi,doc_id
Flatfield\Canon120-1\150.tif,Flatfield,Canon120-1,,150
Flatfield\Canon120-1\300.tif,Flatfield,Canon120-1,,300
Flatfield\Canon120-2\150.tif,Flatfield,Canon120-2,,150
Flatfield\Canon120-2\300.tif,Flatfield,Canon120-2,,300
Flatfield\Canon220\150.tif,Flatfield,Canon220,,150
Flatfield\Canon220\300.tif,Flatfield,Canon220,,300
Flatfield\Canon9000-1\150.tif,Flatfield,Canon9000-1,,150
Flatfield\Canon9000-1\300.tif,Flatfield,Canon9000-1,,300
Flatfield\Canon9000-2\150.tif,Flatfield,Canon9000-2,,150
Flatfield\Canon9000-2\300.tif,Flatfield,Canon9000-2,,300
Flatfield\EpsonV370-1\150.tif,Flatfield,EpsonV370-1,,150
Flatfield\EpsonV370-1\300.tif,Flatfield,EpsonV370-1,,300
Flatfield\EpsonV370-2\150.tif,Flatfield,EpsonV370-2,,150
Flatfield\EpsonV370-2\300.tif,Flatfield,EpsonV370-2,,300
Flatfield\EpsonV39-1\._150.tif,Flatfield,EpsonV39-1,,._150
Flatfield\EpsonV39-1\150.tif,Flatfield,EpsonV39-1,,150
Flatfield\EpsonV39-1\300.tif,Flatfield,EpsonV39-1,,300
Flatfield\EpsonV39-2\150.tif,Flatfield,EpsonV39-2,,150
Flatfield\EpsonV39-2\300.tif,Flatfield,EpsonV39-2,,300
Flatfield\EpsonV550\150.tif,Flatfield,EpsonV550,,150
Flatfield\EpsonV550\300.tif,Flatfield,EpsonV550,,300
Flatfield\HP\150.tif,Flatfield,HP,,150
Flatfield\HP\300.tif,Flatfield,HP,,300
Official\Canon120-1\150\s1_100.tif,Official,Canon120-1,150,s1_100
Official\Canon120-1\150\s1_12.tif,Official,Canon120-1,150,s1_12
Official\Canon120-1\150\s1_15.tif,Official,Canon120-1,150,s1_15
Official\Canon120-1\150\s1_17.tif,Official,Canon120-1,150,s1_17
Official\Canon120-1\150\s1_2.tif,Official,Canon120-1,150,s1_2
Official\Canon120-1\150\s1_28.tif,Official,Canon120-1,150,s1_28
Official\Canon120-1\150\s1_29.tif,Official,Canon120-1,150,s1_29
Official\Canon120-1\150\s1_30.tif,Official,Canon120-1,150,s1_30
Official\Canon120-1\150\s1_31.tif,Official,Canon120-1,150,s1_31
Official\Canon120-1\150\s1_32.tif,Official,Canon120-1,150,s1_32
Official\Canon120-1\150\s1_33.tif,Official,Canon120-1,150,s1_33
Official\Canon120-1\150\s1_34.tif,Official,Canon120-1,150,s1_34
Official\Canon120-1\150\s1_35.tif,Official,Canon120-1,150,s1_35
Official\Canon120-1\150\s1_36.tif,Official,Canon120-1,150,s1_36
Official\Canon120-1\150\s1_37.tif,Official,Canon120-1,150,s1_37
Official\Canon120-1\150\s1_38.tif,Official,Canon120-1,150,s1_38
Official\Canon120-1\150\s1_39.tif,Official,Canon120-1,150,s1_39
Official\Canon120-1\150\s1_40.tif,Official,Canon120-1,150,s1_40
Official\Canon120-1\150\s1_41.tif,Official,Canon120-1,150,s1_41
Official\Canon120-1\150\s1_42.tif,Official,Canon120-1,150,s1_42
Official\Canon120-1\150\s1_43.tif,Official,Canon120-1,150,s1_43
Official\Canon120-1\150\s1_44.tif,Official,Canon120-1,150,s1_44
Official\Canon120-1\150\s1_45.tif,Official,Canon120-1,150,s1_45
Official\Canon120-1\150\s1_46.tif,Official,Canon120-1,150,s1_46
Official\Canon120-1\150\s1_47.tif,Official,Canon120-1,150,s1_47
Official\Canon120-1\150\s1_48.tif,Official,Canon120-1,150,s1_48
Official\Canon120-1\150\s1_49.tif,Official,Canon120-1,150,s1_49
Official\Canon120-1\150\s1_5.tif,Official,Canon120-1,150,s1_5
Official\Canon120-1\150\s1_50.tif,Official,Canon120-1,150,s1_50
